iter	RMSE
0	1.142180386
1	1.13079683
2	1.119590362
3	1.108565958
4	1.098222308
5	1.087704925
6	1.077597973
7	1.06762093
8	1.058034305
9	1.048255462
10	1.038987318
11	1.029755949
12	1.02065858
13	1.012047727
14	1.003689477
15	0.9953406913
16	0.9871774527
17	0.9791160645
18	0.9712462979
19	0.9632786319
20	0.9556443382
21	0.9484640966
22	0.9410833192
23	0.9338281266
24	0.9269247744
25	0.9200871667
26	0.9132221134
27	0.9064147819
28	0.9000323721
29	0.8936418685
30	0.8872439512
31	0.8809890707
32	0.8753772705
33	0.8694868182
34	0.8638259428
35	0.8581850698
36	0.8526690439
37	0.8473484549
38	0.8419650115
39	0.8368330883
40	0.8317474863
41	0.8267193772
42	0.8219221044
43	0.8172000879
44	0.8128061837
45	0.8081172828
46	0.8036188252
47	0.799160189
48	0.7950027719
49	0.7908006282
50	0.7867898152
51	0.782804532
52	0.7788781702
53	0.7751162951
54	0.7715516513
55	0.7679993693
56	0.7645257522
57	0.7608543003
58	0.7572998962
59	0.7539583464
60	0.7505140344
61	0.7469585089
62	0.743825123
63	0.7407907076
64	0.7378661786
65	0.7347046518
66	0.7317693905
67	0.7289244476
68	0.7260723274
69	0.7233488147
70	0.7206942216
71	0.7182033144
72	0.715540241
73	0.7127524822
74	0.7101379621
75	0.7075220123
76	0.7048476713
77	0.7023665303
78	0.69988707
79	0.6973377353
80	0.6949734061
81	0.6925791474
82	0.690379311
83	0.688233398
84	0.686111177
85	0.6839896908
86	0.6819349829
87	0.6799813585
88	0.6780856721
89	0.6760854161
90	0.6742012401
91	0.6723395813
92	0.6706180119
93	0.6687460564
94	0.6670812296
95	0.6654949107
96	0.6638704189
97	0.6622940907
98	0.6607165028
99	0.6592371934
100	0.6576640936
101	0.6561990332
102	0.6548347108
103	0.6534515949
104	0.6520094689
105	0.6506654771
106	0.6492654133
107	0.6479365965
108	0.6466880696
109	0.6454633039
110	0.6443585535
111	0.6432238906
112	0.6420879916
113	0.6409251876
114	0.6397581904
115	0.6386829824
116	0.6376040605
117	0.636588985
118	0.6356612156
119	0.6346399846
120	0.6336564066
121	0.6327282273
122	0.6317366172
123	0.6308798847
124	0.6299210594
125	0.629055403
126	0.6281548426
127	0.6273636765
128	0.626537361
129	0.625795724
130	0.6250087186
131	0.6242168085
132	0.623368061
133	0.6226415975
134	0.6219347716
135	0.6212398362
136	0.6205358466
137	0.6198749082
138	0.6192637051
139	0.6186231709
140	0.6179914874
141	0.6172585953
142	0.6166741516
143	0.6160982284
144	0.6154759592
145	0.6148725986
146	0.6143570194
147	0.6137188462
148	0.6130566549
149	0.6125285113
150	0.6119525964
151	0.6114319605
152	0.6109578223
153	0.6104650621
154	0.6098518172
155	0.60937036
156	0.6088562639
157	0.6083809601
158	0.6078274479
159	0.6073348522
160	0.6068523211
161	0.6064538653
162	0.6061012136
163	0.605600362
164	0.6051929734
165	0.6048288107
166	0.6044604312
167	0.6040382217
168	0.6036745489
169	0.6032796339
170	0.6028436815
171	0.6024180339
172	0.6019906197
173	0.6015920634
174	0.6012494532
175	0.6008384783
176	0.6003972121
177	0.6000880327
178	0.5997575447
179	0.5994410502
180	0.5991500063
181	0.5988858959
182	0.5985789663
183	0.5981424399
184	0.5978191764
185	0.5975096769
186	0.5971891638
187	0.5968898375
188	0.5966223208
189	0.5962576845
190	0.5959074551
191	0.5956650262
192	0.5953186873
193	0.5950638458
194	0.5948249081
195	0.5945458442
196	0.5942489341
197	0.5939424422
198	0.5937261872
199	0.5934922344
200	0.5932427211
201	0.5929844152
202	0.5928047326
203	0.5924507748
204	0.592155795
205	0.5919763201
206	0.5917458762
207	0.5915810624
208	0.5913598951
209	0.5911355467
210	0.5909061139
211	0.5906969124
212	0.5905101369
213	0.5902944736
214	0.5901378309
215	0.5899551936
216	0.5896984763
217	0.5895452071
218	0.5893612426
219	0.589151898
220	0.5889967882
221	0.5888063575
222	0.5885952298
223	0.58844031
224	0.5882672039
225	0.5881127028
226	0.5879123368
227	0.5877801794
228	0.5876144903
229	0.5874671633
230	0.5871767883
231	0.5870212526
232	0.5868948845
233	0.5866795479
234	0.5865697494
235	0.5864451673
236	0.5863243085
237	0.5861850328
238	0.5859501176
239	0.585821188
240	0.5856581485
241	0.5854853748
242	0.5853260846
243	0.5851590376
244	0.5849689122
245	0.5848119464
246	0.5847100171
247	0.5846019846
248	0.5844328686
249	0.5842255748
250	0.5840989049
251	0.5839738097
252	0.5838864633
253	0.583698609
254	0.5834815515
255	0.5832653007
256	0.5831741692
257	0.5830571044
258	0.5829318749
259	0.582840387
260	0.5827178594
261	0.5826261468
262	0.5825466713
263	0.5824369101
264	0.5822409743
265	0.5821063534
266	0.5819701883
267	0.5817668355
268	0.581646406
269	0.5815464214
270	0.5814746325
271	0.5813625791
272	0.5812403528
273	0.581141682
274	0.5810767076
275	0.5809832913
276	0.5808309122
277	0.5807070615
278	0.5806298191
279	0.5805310593
280	0.5804429625
281	0.5802482013
282	0.5801475366
283	0.5799948382
284	0.5798858745
285	0.5797830168
286	0.5796120466
287	0.579487598
288	0.579299374
289	0.5791813265
290	0.5790324931
291	0.5789723586
292	0.5788167639
293	0.5787019277
294	0.5785425575
295	0.5784582512
296	0.5783115112
297	0.5782125731
298	0.5781049495
299	0.5780308751
300	0.5779279323
301	0.5778121727
302	0.5777461261
303	0.5775704379
304	0.5775023264
305	0.5773494042
306	0.5772908767
307	0.5771728079
308	0.5771150082
309	0.5769616628
310	0.5769109307
311	0.5767707017
312	0.5766727191
313	0.5765481226
314	0.5764455859
315	0.5763310245
316	0.5762306183
317	0.5761053634
318	0.5760046562
319	0.5758872537
320	0.5758311906
321	0.575748928
322	0.5757023826
323	0.5756509119
324	0.5755766005
325	0.5754829594
326	0.575354613
327	0.5752811415
328	0.5751431765
329	0.5750727744
330	0.5749876025
331	0.5749104404
332	0.5748177181
333	0.5747246323
334	0.5746528218
335	0.5745552103
336	0.5744942271
337	0.5743805086
338	0.5743305901
339	0.5741865129
340	0.5741136549
341	0.5740087417
342	0.5739205212
343	0.5738684494
344	0.5738059441
345	0.5737255149
346	0.5735617611
347	0.5734362232
348	0.5733820083
349	0.5732923946
350	0.5732099023
351	0.5730991502
352	0.5730177056
353	0.5729659251
354	0.5728801815
355	0.5728364828
356	0.5727873337
357	0.5726898998
358	0.5725779381
359	0.5725343936
360	0.5724464961
361	0.5722885915
362	0.5721871272
363	0.5720907136
364	0.572009702
365	0.5719667537
366	0.5718771017
367	0.5717792872
368	0.5716828158
369	0.5715698
370	0.5715010684
371	0.5714252935
372	0.571317938
373	0.5712232389
374	0.5711664151
375	0.571071066
376	0.5710057646
377	0.5709149317
378	0.5708449989
379	0.5707550009
380	0.5706574706
381	0.5705429855
382	0.570492189
383	0.5704082697
384	0.5703394996
385	0.5702305497
386	0.5701305037
387	0.5700708035
388	0.5699979992
389	0.5698794916
390	0.5697934017
391	0.5697205164
392	0.5696624206
393	0.56959838
394	0.5695147795
395	0.5694334989
396	0.5693469165
397	0.5692934689
398	0.5692552435
399	0.5691914697
400	0.5691292791
401	0.5690230984
402	0.5689579795
403	0.5688951034
404	0.5687915719
405	0.5687483814
406	0.5687181539
407	0.5686689812
408	0.5686258237
409	0.5685761886
410	0.5685108192
411	0.568443177
412	0.5683849097
413	0.5683295736
414	0.5682458366
415	0.5681781177
416	0.5681363803
417	0.5680717008
418	0.5680180499
419	0.5679728008
420	0.5679018914
421	0.5677571467
422	0.5676868086
423	0.5675733423
424	0.5675073289
425	0.567446052
426	0.5673856123
427	0.5673247291
428	0.5672663057
429	0.5671416585
430	0.5670625681
431	0.5670133303
432	0.5669511807
433	0.566889813
434	0.5668381741
435	0.5667773553
436	0.5667198193
437	0.5666926208
438	0.5666399642
439	0.5665822304
440	0.5665366026
441	0.5664867023
442	0.5664353104
443	0.5663906943
444	0.5662997725
445	0.5662160678
446	0.5661137482
447	0.5660846258
448	0.5660176674
449	0.5659567856
450	0.5659030682
451	0.5658655745
452	0.5658045784
453	0.5657554834
454	0.565690474
455	0.5656109393
456	0.5655058966
457	0.5653982712
458	0.5653261129
459	0.5652713741
460	0.5652049742
461	0.565151596
462	0.5650913474
463	0.5650376603
464	0.5649788796
465	0.5649096109
466	0.5648454634
467	0.5647981102
468	0.5647468906
469	0.5647003184
470	0.5646498767
471	0.5646120769
472	0.5645473679
473	0.5644688554
474	0.5644037467
475	0.5643640487
476	0.5643098636
477	0.5642609597
478	0.5642034268
479	0.5641585836
480	0.5641141313
481	0.5640153834
482	0.5639116069
483	0.5638605964
484	0.5637731229
485	0.5637369794
486	0.5637027961
487	0.5636447313
488	0.5636202189
489	0.5635716666
490	0.5635089333
491	0.5634558819
492	0.5633892098
493	0.5633484653
494	0.563284432
495	0.5632312001
496	0.5631896992
497	0.5631034891
498	0.5630462859
499	0.5630113802
500	0.5629597234
501	0.5629164349
502	0.5628365574
503	0.562767261
504	0.5627195512
505	0.5626406843
506	0.5625804195
507	0.5625246205
508	0.5624904027
509	0.5624208295
510	0.5623818748
511	0.5623372138
512	0.5622877685
513	0.5622483792
514	0.5621859465
515	0.5621538943
516	0.5621134753
517	0.5620742492
518	0.5620300051
519	0.5619644199
520	0.5619028097
521	0.5618361704
522	0.5617968033
523	0.5617510069
524	0.5617140613
525	0.5616574055
526	0.5615787857
527	0.561532593
528	0.5614683098
529	0.5614205597
530	0.5613833194
531	0.5613205307
532	0.5612826389
533	0.5612391482
534	0.5611852061
535	0.5611016595
536	0.5610689249
537	0.5610242274
538	0.560958956
539	0.5609063169
540	0.5608555571
541	0.5608278527
542	0.5607799178
543	0.5607348343
544	0.5607138446
545	0.5606392082
546	0.5605940839
547	0.5605344583
548	0.5604835002
549	0.5604201924
550	0.560346038
551	0.560243269
552	0.5602082794
553	0.5601350449
554	0.5600693107
555	0.5599946891
556	0.5599371792
557	0.5598941875
558	0.559843613
559	0.5597900192
560	0.5597365148
561	0.559672696
562	0.5596271962
563	0.5595707861
564	0.5595085056
565	0.5594596695
566	0.5594049113
567	0.5593420489
568	0.559308483
569	0.5592571922
570	0.5592261291
571	0.5591740306
572	0.5591243605
573	0.5590774837
574	0.5590350439
575	0.5590035345
576	0.5589601337
577	0.5589077272
578	0.558841867
579	0.5587725248
580	0.5586831413
581	0.5586355999
582	0.5585781168
583	0.5585352136
584	0.5584761646
585	0.5584129912
586	0.5583660833
587	0.558321604
588	0.5582966293
589	0.5582478433
590	0.55820035
591	0.5581503207
592	0.5581101589
593	0.5580630712
594	0.5580286305
595	0.5579945363
596	0.5579636676
597	0.55789707
598	0.5578623079
599	0.5578278808
600	0.5577751737
601	0.557725058
602	0.5576488588
603	0.5575766517
604	0.5575162815
605	0.5574438499
606	0.5573927386
607	0.5573504751
608	0.557302934
609	0.5572560829
610	0.5571625921
611	0.5571184739
612	0.5570622165
613	0.5570177024
614	0.556974449
615	0.5569255524
616	0.5568856348
617	0.5568396355
618	0.5567852701
619	0.5567365241
620	0.5566882159
621	0.5566484254
622	0.5566125253
623	0.5565645056
624	0.5564965057
625	0.5564514001
626	0.5564171845
627	0.5563830579
628	0.556337576
629	0.556280303
630	0.5562526487
631	0.5562230782
632	0.5561810311
633	0.5561440063
634	0.5561080442
635	0.5560527065
636	0.5560057481
637	0.5559716055
638	0.5559060016
639	0.5558161318
640	0.5557749825
641	0.5557164829
642	0.5556809526
643	0.5556480807
644	0.5555879408
645	0.5555613823
646	0.5554948699
647	0.5554520308
648	0.5554044919
649	0.5553634064
650	0.5553333174
651	0.5552971816
652	0.5552552115
653	0.5552258145
654	0.5551796301
655	0.5551409809
656	0.555099543
657	0.5550612199
658	0.5550002267
659	0.5549405817
660	0.5548800276
661	0.5548186349
662	0.5547962651
663	0.5547393367
664	0.5546667911
665	0.5546119497
666	0.5545805234
667	0.5545389445
668	0.5544991322
669	0.5544371033
670	0.5543933236
671	0.5543367518
672	0.5542806236
673	0.5542426591
674	0.5541975803
675	0.5541611567
676	0.554124499
677	0.5540723558
678	0.5540482686
679	0.5540104202
680	0.5539793518
681	0.5539436373
682	0.5538964121
683	0.553842951
684	0.5537952183
685	0.5537281227
686	0.5536958928
687	0.5536368241
688	0.5535792988
689	0.5535406241
690	0.5534938808
691	0.5534587441
692	0.5534232594
693	0.5533623382
694	0.5533174925
695	0.5532585866
696	0.5532065644
697	0.5531494628
698	0.5531051454
699	0.5530469746
700	0.5530072625
701	0.5529699586
702	0.5529298438
703	0.5528784777
704	0.5528453618
705	0.5527932019
706	0.5527304699
707	0.5526712508
708	0.5526226843
709	0.5525857954
710	0.552506142
711	0.552451483
712	0.5523970232
713	0.5523471917
714	0.552298996
715	0.552249879
716	0.5522139085
717	0.552187362
718	0.5521417874
719	0.5521033265
720	0.5520394496
721	0.5520038435
722	0.5519460183
723	0.5519067468
724	0.5518618267
725	0.5518249411
726	0.5517789778
727	0.5517202551
728	0.5516834729
729	0.5516429852
730	0.5515977449
731	0.551561809
732	0.5514899745
733	0.5514387854
